ident,latitude,longitude
AF007,-22.86309167,-43.53873611
SO011,-12.72138611,-55.80549167
GEDEX,-13.141875,-38.20788889
PONSA,-16.46067222,-49.3031
IKG02,-7.255905556,-35.91563056
SUDRO,-7.592988889,-49.72352222
OGNAB,-1.205377778,-60.495975
NM002,-28.26536111,-54.27046667
ILNUL,-27.29149722,-48.72583333
GV006,-18.937625,-42.02628611
TAU03,-23.00745,-45.43538611
EGLEG,-8.7635,-64.07066667
IVPON,-6.623638889,-71.41772222
GP017,-21.87225278,-48.45067222
LO204,-23.31999444,-51.170675
LO205,-23.36321111,-51.18769444
USOBI,-3.218697222,-60.2992
GM006,-10.56940833,-65.25597778
UBSOD,-24.26173611,-47.14418889
CTB14,-25.39179486,-49.33852381
ARSIV,-8.376325,-52.25080556
VUMKO,-23.04556944,-47.51842778
CY006,-15.73661111,-56.07216667
GP369,-21.58408333,-48.40838889
SV052,-12.7726,-38.44437778
SUKSU,-29.79301111,-50.91858611
JU002,-7.406452778,-38.85726667
KOPDU,1.394222222,-29.70888889
ANRIR,-14.99156221,-57.55637858
LS016,-19.70583056,-43.71790278
PONLU,-26.52717778,-49.045525
JH002,-23.41599167,-47.32085
CX203,-29.23145,-51.09110833
ILMAT,-3.123394444,-59.8961
UGVAM,-20.31783611,-54.663675
NM004,-28.23373056,-54.45577778
GR263,-22.87726667,-46.34781667
IT007,-18.699925,-49.13058611
ANAME,-8.904944444,-64.54894444
IRUMA,-11.00836667,-44.52231667
VRI16,-20.08505,-40.17361944
KEVUN,-23.46299444,-44.95173333
PUNOD,-27.5442,-48.37777778
MOVGI,-23.20233333,-43.14966667
UG004,-29.85688611,-56.78964444
EGELU,-23.06216667,-56.11116667
AU008,-21.05966667,-50.377
SANBO,-25.53466667,-48.53083333
UG002,-29.78715278,-57.10272778
IVROP,-20.36433333,-47.88166667
FL988,-27.71966667,-48.451
VJK13,-15.9517,-48.19816944
BUTOD,-20.68337778,-44.07970556
COA15,-29.95222222,-51.13155
TISKU,-21.65923611,-41.25721944
KADOT,-2.72645,-43.58798056
JD018,-23.06423889,-46.99781944
SINEN,-20.52061389,-54.86194444
ISMOB,-21.78917774,-47.19701585
NF022,-26.67960278,-48.13122222
SELRI,-30.24538611,-51.6379
ISRUB,-11.24782778,-37.70574444
NT397,-5.924722222,-35.15694444
PCL02,-21.88532778,-46.6941
EGBOP,-15.79555556,-48.92583333
VJK07,-15.73238611,-47.92636667
OBMAV,-23.5015229,-47.60718872
GEMUB,-25.49371389,-54.34786944
UGRUL,-19.89513333,-43.70958056
PAKAX,-29.49786667,-52.99852778
AN006,-16.30333333,-49.028
CT029,-25.61633333,-49.40533333
GP023,-21.58632778,-48.55505556
MCA04,-22.30355,-41.73812778
GR294,-23.45196389,-46.53572778
SUPNI,-28.85147778,-50.88904444
KP119,-22.88228611,-46.87736944
DEXIB,-22.76571944,-47.02111111
VRI17,-20.08736389,-40.17508889
OPNAG,-5.803066667,-35.331425
FL813,-27.759225,-48.59545833
ATEVO,2.279863889,-40.41343056
LS022,-19.67581944,-43.84032778
AKVOT,-8.281527778,-34.83204722
EGELO,-9.262166667,-63.38683333
UA018,-0.112975,-66.95338056
KEVAD,-2.054166667,-48.46966667
OI009,3.985025,-51.74856389
GNV18,-16.57733333,-49.46298889
JULIA,-9.2105,-68.13633333
KOTSA,-12.23964134,-39.14166946
AMVIN,-15.90089444,-48.02351944
ELATE,-29.626,-50.527
AE006,-22.0775,-49.11416667
IH003,-4.446786111,-56.15811944
EGATA,-16.54496389,-49.46508889
SGA02,-5.736694444,-35.56958611
VAMUS,2.920615951,-37.48507181
JNV20,-26.22909167,-48.79098889
GU002,-25.46519722,-51.69431111
OPSUT,-2.088611111,-52.74305556
SASNI,-3.095305556,-60.88003611
OSAGU,-17.91233333,-41.00483889
NEURA,-0.936333333,-30.91416667
ST008,-24.17958333,-46.27910833
ESUNI,-23.85416667,-46.45283333
RJ908,-22.94081944,-43.15001389
PUDPO,-2.853719444,-60.32796944
SEMLA,-2.382513889,-60.4521
PULPU,-29.45101111,-50.97833889
MUBUV,-4.391636111,-58.53949722
ASBOT,-1.996958333,-47.54425
MI011,-22.92543889,-42.84100833
